sid,role,conversation,start_time,end_time
1728970632164929538,坐席,Vip专家坐席九二七号为您服务，尊敬的大众车主您好，我能为您做些什么？,1480,8260
1728970632164929538,客户,你好，我八月份提了一个蓝鲸，它这一个,8900,12830
1728970632164929538,客户,它补贴到现在怎么还没有补贴和置换补贴和金融补贴？,13070,18480
1728970632164929538,坐席,您说补贴没有收到是吗？,18970,22210
1728970632164929538,客户,还没有，还有置换补贴。,22460,24390
1728970632164929538,坐席,还有置换的补贴，军人补贴和置换补贴都没有收到。,24630,28510
1728970632164929538,客户,早没有，他说我问4S店4S店说其实明明后,28790,32830
1728970632164929538,客户,你意思是到半个月了，还没有跟我说没打，再问他他说厂家是没打还是怎么回事？,33180,39140
1728970632164929538,坐席,他当时的话有没有跟您说什么时候能给您？,39250,42950
1728970632164929538,客户,别说了。,43470,44350
1728970632164929538,坐席,说过了没有说吗？还是说过了？,45000,47740
1728970632164929538,客户,多了也不超过三个月，最多三个月。,48150,50810
1728970632164929538,坐席,然后您是。,51900,52910
1728970632164929538,客户,他说定制补贴很快，大概两个月。,53550,56510
1728970632164929538,坐席,然后他跟您说是不超过三个月，您是什么时候买的车购车的时间？,57220,63020
1728970632164929538,客户,八月八月二十应该是八。,63620,66300
1728970632164929538,坐席,月二十号买的车。,66300,67810
1728970632164929538,坐席,明白了先生，您这样稍后的话，您看看您是在哪家店买的车，我们去帮您联系店内给您催促这个事。,68910,76520
1728970632164929538,客户,在这个周口荣威。,77040,78470
1728970632164929538,坐席,周口荣威店,78800,80520
1728970632164929538,坐席,稍等，我们先查询一下店的相关信息，您先稍等一下。,81780,85970
1728970632164929538,坐席,您说的这家周口宏威是在交通大道的东段这家店是吧？,93920,99260
1728970632164929538,客户,对，好的。,99390,101270
1728970632164929538,坐席,您的销售顾问叫什么名字？,101270,103690
1728970632164929538,客户,应该叫朱元。,104490,106760
1728970632164929538,坐席,朱元是吗？,107720,109200
1728970632164929538,客户,对，到底我想问一下咨询这个事到底是厂家没拨还是他没给我？,109430,114380
1728970632164929538,客户,还是他没给我报主意思，我现在就想咨询这个事。,114630,117510
1728970632164929538,客户,明白。,118040,119520
1728970632164929538,坐席,先生您看这样，因为现在的话我们看不到您具体的审批进程，,119520,124680
1728970632164929538,坐席,稍后这边我们帮您沟通一下咱们的4S店，然后让店内这边帮您核实，然后给您做回复，您看可以吗？,124780,131910
1728970632164929538,客户,他给我批要早都批过了，他说。,132030,134590
1728970632164929538,坐席,他跟您说已经审批过了。,134910,136670
1728970632164929538,客户,对，他说就是钱没到，他说估计要等到下个月的时候。,137030,141190
1728970632164929538,坐席,他跟你说要等到下个月。,141770,144200
1728970632164929538,客户,对。,144630,145100
1728970632164929538,坐席,明白了先生，您这样我们先去帮您沟通反馈这个事好吗？,145390,149390
1728970632164929538,客户,好的。,149920,152440
1728970632164929538,坐席,然后您看这样咱们登记的车主的姓名是叫做,152440,157430
1728970632164929538,坐席,蔡宏飞吗？,157640,158930
1728970632164929538,客户,对我本人，好的。,159310,161150
1728970632164929538,坐席,蔡先生，然后您这个车的车牌您方便跟我说一下做一下记录吗？,161150,165880
1728970632164929538,客户,可以方便一七六四七五s六60。,166450,171290
1728970632164929538,坐席,河南的豫豫cq吗？,173350,175720
1728970632164929538,客户,不是预计。,175910,178030
1728970632164929538,客户,六60六60。,182230,183940
1728970632164929538,坐席,好的，您信息我们做好登记了，您是懒近的330三八零还是530？,184190,189740
1728970632164929538,坐席,三八零。对。,190000,191650
1728970632164929538,坐席,好的，明白了，您放心，稍后这边马上帮您跟进后推错。,191870,195550
1728970632164929538,客户,什么时候不是你给我问了，我什么时候能知道这个消息信息，有人给我反馈吗？没有关系。,196200,202840
1728970632164929538,坐席,我们会让店内去给您回复的，先生您放心。,202840,205960
1728970632164929538,客户,好行，好的。,206720,209640
1728970632164929538,坐席,有什么需要的话您再致电好吧？,209640,211880
1728970632164929538,坐席,也想对本次服务做评价，生活愉快，再见。,212030,215160
1728970619833675778,坐席,您好。,520,1430
1728970619833675778,坐席,三五。,1710,2990
1728970619833675778,客户,二。,2990,3670
1728970619833675778,坐席,客服代表为您服务，您好，投资分析为您服务。,3950,8310
1728970619833675778,客户,你好，请问是一汽大众吗？,9010,10730
1728970619833675778,坐席,一汽大众厂家客服中心的先生有什么可以帮到您的吗？,10730,14860
1728970619833675778,客户,就是在长春的的。,16470,19080
1728970619833675778,坐席,我们的办公地址是在长春。,19780,22010
1728970619833675778,客户,我想,22550,23550
1728970619833675778,客户,在里面反映一个问题，您讲。,24070,26210
1728970619833675778,客户,反正我是在云南昆明了，我打算购你们的车了。,27020,31960
1728970619833675778,客户,到你们的车。,32600,33870
1728970619833675778,客户,销售的汽车公司叫,34190,36610
1728970619833675778,客户,一汽金鼎，对一汽金鼎汽车,36870,40470
1728970619833675778,客户,销售的,40710,42180
1728970619833675778,客户,等于说我跟他们签了个购车协议，,43190,47450
1728970619833675778,客户,就是我置换一辆大众车，,47710,50180
1728970619833675778,客户,置换以后它,50430,51920
1728970619833675778,客户,他现在用,52500,53730
1728970619833675778,客户,购车协议都签了。,54130,57070
1728970619833675778,客户,他是说我,57310,58800
1728970619833675778,客户,车是上汽大众的置换补贴没那么多，我说你们这个完全是开玩笑，难道他不知道我这,59030,65460
1728970619833675778,客户,这个车是上汽发送的，,65590,66960
1728970619833675778,客户,我就跟你们反映这个问题。,67190,69470
1728970619833675778,坐席,了解到情况，目前是已经签订了购车的协议是吗？,69710,74730
1728970619833675778,客户,对。,75120,75650
1728970619833675778,客户,现在签订。,76010,77690
1728970619833675778,坐席,咱们是想要打算置换购车，当时咱们有将具体的车型告知给店内的工作人员了吗？,78050,84460
1728970619833675778,客户,我知道了，探岳的330两驱高能版20高能版是吧？,84900,92010
1728970619833675778,坐席,您现在是,92900,94290
1728970619833675778,坐席,跟您确定一下先生，,94530,96330
1728970619833675778,坐席,您现在使用的是探岳车辆，还是打算购买探岳车联网。,96510,100150
1728970619833675778,客户,购买探岳？,100150,101980
1728970619833675778,坐席,打算购买太原车辆是使用什么车辆置换？,102220,106340
1728970619833675778,客户,用上汽大众的。,106740,108590
1728970619833675778,客户,菠萝。,108930,109570
1728970619833675778,坐席,了解到情况，当时购车的时候也是将具体的车型告知给店内的工作人员了，对吗？,109990,116650
1728970619833675778,客户,对，他知道我那个车他已经,117090,119630
1728970619833675778,客户,评估了，他们的,119910,122790
1728970619833675778,客户,二手车这个评估已经评估了，评估以后再加置换补贴已经签了协议，肯定他是知道的，定金我们都交了。,123060,132780
1728970619833675778,客户,现在他又想返回了，说是上汽大众的,132930,136460
1728970619833675778,客户,置换补贴没那么高，他又不是不知道这些情况。,136710,140510
1728970619833675778,坐席,了解到情况确实抱歉，也是给您带来一个不好的体验了，跟您核对一下您的信息，您是送些,140510,147110
1728970619833675778,坐席,先生吗？,147190,147730
1728970619833675778,客户,我购车是,148480,150880
1728970619833675778,客户,我购车是姓张。,151250,154060
1728970619833675778,坐席,是先生还是女士？,154360,156250
1728970619833675778,客户,你是。,156680,159600
1728970619833675778,坐席,购车订车人是一位姓张的女士，对吗？,159600,163030
1728970619833675778,客户,对。,163260,164280
1728970619833675778,客户,家里面的人。,164550,165800
1728970619833675778,坐席,好的，冒昧的问一下您和张女士什么关系呢？,166060,169400
1728970619833675778,客户,夫妻。,169960,170610
1728970619833675778,坐席,了解您是打算购买探岳多大排量的车？,170860,173860
1728970619833675778,客户,二点零t的两驱。,174260,177620
1728970619833675778,坐席,330的吗？,178180,179200
1728970619833675778,客户,对。,179770,180490
1728970619833675778,坐席,好的，了解到情况,180710,186750
1728970619833675778,客户,对，在海源路上海。,187170,190770
1728970619833675778,坐席,源中路,190770,191710
1728970619833675778,坐席,幺零二八号。,192010,193030
1728970619833675778,客户,对。,193290,193970
1728970619833675778,坐席,就那里了解您是通过店内哪位工作人员进行购车，销售顾问叫什么名字？,193970,200050
1728970619833675778,客户,他那个是微信，我不知道是不是叫具体名字叫里程成还是叫里程，应该叫李初成的是个小伙子。,200320,208230
1728970619833675778,坐席,是一位姓李的先生对吗？,208330,210450
1728970619833675778,坐席,对，一开始店内工作人员告知给您是置换补贴需要是多少钱呢？,210960,216930
1728970619833675778,客户,置换补贴九千，然后我那个车打价了，,217700,221630
1728970619833675778,客户,打价打下来是两万六，,222220,225170
1728970619833675778,客户,他评估是两万六再加九千不就是转过去三万五了，现在他说你这个车是上汽的，,225910,233550
1728970619833675778,客户,只能给四千。,233780,235210
1728970619833675778,客户,他是跟我莫名其妙，他,235470,237100
1728970619833675778,客户,这些我当初就已经他又不是不知道是上汽大众，我还特意问他们，,237350,242330
1728970619833675778,客户,所以我这个是上汽大众行不行？他说可以的，没问题，现在他又要反悔，,242590,247050
1728970619833675778,客户,忙忙我们开算。,247230,248550
1728970619833675778,坐席,能理解您的心情，确实也是非常抱歉给您带来一个不好的体验了，针对目前的这个问题，您看您现在具体有什么样的要求和想法呢？,249110,258330
1728970619833675778,客户,我们希望他能够履行购车协议，,259270,262990
1728970619833675778,客户,再错也是他们的错，也不知道他们是搞什么名堂。,263190,266850
1728970619833675778,坐席,过后。,267430,268630
1728970619833675778,客户,他们自己违约。,268630,270110
1728970619833675778,坐席,能理解您的心情，确实也是非常抱歉给您带来一个不好的体验了，我这边马上联系对应领导，针对您的问题来进行反应，后续也请您保持电话畅通。,270800,280670
1728970619833675778,坐席,需要跟您确定一下先生针对您所反映的问题，后续是按投诉处理还是按咨询处理？,280790,288440
1728970619833675778,客户,按投诉它就太不像话了。,289120,292250
1728970619833675778,客户,我的车都是什么都准备好了，我是按照协议定金已交了,292490,298630
1728970619833675778,客户,交了七千块钱。,298740,301050
1728970619833675778,坐席,然后都有。,302350,303520
1728970619833675778,客户,所有的手续都准备好了，就是我的二手车,303790,307840
1728970619833675778,客户,准备交的车已经转不好，随时咱提车马上开了送给他忘了。,308100,313710
1728970619833675778,坐席,能理解您的心情，确实也是抱歉给您带来一个不好的体验了，针对这个情况我们马上联系对于领导针对您的问题进行反应，后续也请您保持电话畅通。,314980,325390
1728970619833675778,坐席,您看还有其他需要补充的吗？,325760,328170
1728970619833675778,客户,另外他购车协议是,328390,331750
1728970619833675778,客户,他们的好像负责销售的经理,331990,335410
1728970619833675778,客户,也签过字了。,335630,337350
1728970619833675778,客户,这个应该是,337590,339010
1728970619833675778,客户,应该是属于还是,339270,342070
1728970619833675778,客户,确认过的四驱了吗？,342390,343800
1728970619833675778,坐席,目前是销售您的购车协议就是约定的这些个信息，,344980,350560
1728970619833675778,坐席,相关的经理已经是签过字的了是吗？,350660,354240
1728970619833675778,客户,对，是经理签过销售顾销售人员拿给他们经理签了个字已经签了。,354600,360270
1728970619833675778,客户,你确认好像,360390,361440
1728970619833675778,客户,你们要下载一个你们大众的app，在App上面,361710,366050
1728970619833675778,客户,下订单已经下了。,366310,368080
1728970619833675778,坐席,也是在app上下了订单对吗？,369060,371720
1728970619833675778,客户,那已经下了。,372210,373470
1728970619833675778,客户,了解到情况。,373790,375670
1728970619833675778,坐席,其实也是抱歉给您带来一个不好的体验，我这边马上联系对应领导，针对您的情况也再次进行反应，您看一下后续给您的处理情况。,375670,384230
1728970619833675778,坐席,有任何问题您再随时致电可以吗？,384620,387030
1728970619833675778,客户,好，我们的诉求就是说希望他旅行协议。,387630,391020
1728970619833675778,坐席,好的，了解到情况。,391230,392630
1728970619833675778,客户,因为这个不是我们的错。,392630,394230
1728970619833675778,坐席,明白您的意思，我这边马上联系对应领导，针对您的情况再次进行沟通，宋先生后续也请您保持电话畅通。,394780,401900
1728970619833675778,坐席,如果没有。,402120,403510
1728970619833675778,客户,我电话就留我姓宋。,403820,407590
1728970619833675778,坐席,了解宋先生，后期就直接联系您幺三五尾号三三九九这个电话对吗？,407870,413360
1728970619833675778,客户,对好的。,413730,414810
1728970619833675778,坐席,了解到情况，后续我们会联系您的电话的，我们这边针对您的情况马上进行沟通处理，,414810,422110
1728970619833675778,坐席,也请您保持电话畅通。,422150,423640
1728970619833675778,坐席,如果没有其他问题的话，稍后也请您对我的服务进行评价，感谢来电了，再见。,423830,430160
1728970619833675778,客户,好好再见。,430340,431340
1728970624900395010,坐席,Vip专家坐席九二七号为您服务，尊敬的一汽大众车主您好，我能为您咨询什么？,1150,8120
1728970624900395010,客户,你好。,9600,10140
1728970624900395010,坐席,您好先生请讲，遇到什么问题了您请讲。,10370,13370
1728970624900395010,客户,现在我的车的问题就是我前机膝盖,14000,17430
1728970624900395010,客户,显示一直是开启状态，但是我打不开，,17750,20230
1728970624900395010,客户,因为我现在正在下雪，,20480,22210
1728970624900395010,客户,而且我这挡风玻璃,22430,25360
1728970624900395010,客户,雨刷器,25890,26960
1728970624900395010,客户,突然就失灵了。,27460,28860
1728970624900395010,客户,对，我没办法走了，对，雨刮器失灵了。,29970,34950
1728970624900395010,坐席,雨刮器突然之间失灵，然后前引擎盖现在也打不开。,35340,39100
1728970624900395010,客户,对，而且全引擎盖,39950,41670
1728970624900395010,客户,显示是开启状态。,42340,43980
1728970624900395010,坐席,您是大众的什么车先生多大排量？,43980,47470
1728970624900395010,坐席,Id四的。,47830,48810
1728970624900395010,坐席,您看这样先生，您这个情况如果发现的话，现在处理不了，我们马上帮您沟通联系一下咱们当地代理商，,49420,57890
1728970624900395010,坐席,看看他们这边能不能给您做一些专业指导，我们让他尽快跟您联系回复，您看行吗？,58040,62970
1728970624900395010,客户,好好，我现在车就是抛锚扔在路口了。,63460,66900
1728970624900395010,坐席,现在它也动不了了吗？车辆？,67150,69280
1728970624900395010,客户,动可以动，但是我现在正在下雪前挡风，我雨刷器刷不了，谁敢动。,69800,74200
1728970624900395010,坐席,我明白了先生，您这个情况我们就先帮您沟通联系一下，店内先给您反馈这个事，先生您看行吗？,74890,82450
1728970624900395010,坐席,好的，然后您这边的话先告诉我一下，您这个是大众id四,82550,87190
1728970624900395010,坐席,pro那个版本吗？,87520,88970
1728970624900395010,坐席,不是。,90060,90550
1728970624900395010,坐席,您车是什么时候买的？,92260,93700
1728970624900395010,客户,提交。,95450,96100
1728970624900395010,坐席,P加的版本车是什么时候购买的先生？,96360,99200
1728970624900395010,客户,去年十一月份。,99700,100930
1728970624900395010,坐席,20二二年的十一月份。,101660,104080
1728970624900395010,坐席,您稍等，您配合我留一下信息，然后这边的话如果您不敢开了，我们去给您安排救援。,104570,110460
1728970624900395010,坐席,然后,111490,113560
1728970624900395010,坐席,不用拖车，因为您这个情况的话具体怎么处理，咱们可能要通过4S店进行判断。,115920,121910
1728970624900395010,坐席,我先去给您联系行吗？,121990,123700
1728970624900395010,坐席,让他尽快和您沟通。,124180,125260
1728970624900395010,坐席,然后的话您跟我说一下，,125650,127850
1728970624900395010,坐席,现在您这个车大概是多少公里数，包括您的车牌？,128110,131700
1728970624900395010,客户,两万。,133100,133660
1728970624900395010,坐席,两万公里车牌。,134050,136000
1728970624900395010,客户,哪位？,136330,136880
1728970624900395010,坐席,辽a然后您接着说。,137380,139330
1728970624900395010,坐席,B,139790,141690
1728970624900395010,坐席,辽ad。,142060,143170
1728970624900395010,客户,六八八九六六。,143950,145590
1728970624900395010,坐席,八八九六。,145590,147200
1728970624900395010,坐席,先生您贵姓？,147470,148770
1728970624900395010,客户,总共。,149430,149920
1728970624900395010,坐席,高矮的高高先生是吧？,150440,152310
1728970624900395010,客户,好的。,152600,153920
1728970624900395010,坐席,高先生，您稍等一下，我看一下弹屏的地图，稍等。,153920,158760
1728970624900395010,坐席,您现在车在什么位置，您直接跟我说一下，我来查一下。,160270,164060
1728970624900395010,客户,我不知道是什么位置，但是我定位了,165930,168050
1728970624900395010,客户,南六西路四十三号附近。,168380,170250
1728970624900395010,坐席,您稍等它是属于在哪个城市的？,172220,174820
1728970624900395010,客户,我去了你们还能再费劲点不？,175500,177790
1728970624900395010,坐席,确实抱歉先生，因为我不是您当地人，可能得麻烦您配合提供具体位置。,178760,183920
1728970624900395010,客户,我已经定位之后才给你们打的电话。,183920,187260
1728970624900395010,坐席,那么十分抱歉先生，您大概是在什么位置，哪个区我尽快去给您联系一下。,189490,194250
1728970624900395010,客户,4S店给我回电话。,194250,196310
1728970624900395010,客户,要我跟你说也说不明白。,196490,197990
1728970624900395010,坐席,您稍等一下，现在咱们地图这边有显示了。,199390,202560
1728970624900395010,坐席,我看一下,204030,204890
1728970624900395010,坐席,沈阳市铁西区的重工街道,205740,208510
1728970624900395010,坐席,建设路十三号向龙园小区是吗？这个地方附近。,208790,213430
1728970624900395010,坐席,附近，好的，我们看了一下最近的一家店，辽宁和兴大众，我们就给您联系这个店。,214210,219070
1728970624900395010,坐席,好的，这边我们马上沟通，您保证手机畅通好吧？,222050,225290
1728970624900395010,坐席,好的，有其他需要您再致电，也请对本次服务做评价。,226930,230560
1728970612376203266,坐席,你好不坐席为您服务。,360,2310
1728970612376203266,客户,你好，我车牌号是鲁各地八九三九三。,2900,8270
1728970612376203266,坐席,好，请稍等先生。,8850,10210
1728970612376203266,坐席,科技八九,10900,12640
1728970612376203266,坐席,八。,13210,13830
1728970612376203266,坐席,铝合金八九多少钱张？,14200,16410
1728970612376203266,客户,九三九三。,16970,18020
1728970612376203266,客户,八九三九三。,19730,20880
1728970612376203266,坐席,鲁格蒂八九三九三这么写张。,24070,27590
1728970612376203266,坐席,咱们这边先生使用的是大众哪款车型？,30190,32690
1728970612376203266,客户,H四。,33470,35020
1728970612376203266,坐席,Id四，好的先生，请问咱们这边是一个什么问题先生？,35550,38850
1728970612376203266,客户,我今天刚发现咱这个积分是不是有点问题。,39110,43130
1728970612376203266,坐席,请问先生咱们这边是一个什么情况？先帮您提供一下。,44360,47510
1728970612376203266,客户,前两天你们的积分有问题，,47910,51200
1728970612376203266,客户,我消费了之后又回来了，消费了又回来了，,51430,54760
1728970612376203266,客户,然后我既然消费的都给我扣走了，,55030,58310
1728970612376203266,客户,然后我现在自己的充电余额你们也给我扣走了。,59500,62690
1728970612376203266,坐席,了解到咱们的情况，先生是我这边是咱们之前进行兑换了。,65140,70810
1728970612376203266,坐席,然后没有优惠，,71850,74420
1728970612376203266,坐席,一分自动返还了。,74980,76180
1728970612376203266,客户,你们给我扣走了，对。,76180,78960
1728970612376203266,客户,我之前是一万两千多的积分，我现在是兑了一个商品，然后兑了五百块钱的电卡，我现在电卡余额没有。,80010,88700
1728970612376203266,坐席,好的，了解咱们情况先生是对的一个商品，然后五百元的电卡这边不见了。,92540,98460
1728970612376203266,客户,现在我五百块钱的电卡余额没有了。,98460,101270
1728970612376203266,客户,锁车。,103150,103760
1728970612376203266,坐席,好的，了解到您的情况是这样，余额这边不显示的，请您先生。,109670,113850
1728970612376203266,客户,没有了。,114100,115100
1728970612376203266,坐席,已经这款余额显示没有了对吗先生？对。,115100,118860
1728970612376203266,坐席,然后实际上咱们这边还没有显示使用就能选装。,119110,122940
1728970612376203266,客户,我使用了应该是还有四百多，但是我现在,123550,126870
1728970612376203266,客户,充电的时候发现一分钱没有。,127310,128930
1728970612376203266,坐席,健康是被使用了，但是还是应该剩余四百多的情况对吗先生？,132380,136660
1728970612376203266,客户,对。,136920,137390
1728970612376203266,坐席,好的，六点五请高先生。,141690,143640
1728970612376203266,坐席,就。,144510,145270
1728970612376203266,客户,这个东西你给我扣走，,145270,148000
1728970612376203266,客户,你给我短信通知我也行，app软件通知我也行，电话通知我都可以，我觉得你们随便就给我扣走了，肯定是不行。,148270,155470
1728970612376203266,坐席,给您这边带来不便，先生我向您了解一下，是咱们这边的话是,156240,160060
1728970612376203266,坐席,你有一万两千多的积分都兑换了商品吗先生？,160280,163700
1728970612376203266,客户,我兑换了一个商品，兑换了一个五百块钱的充电卡。,163950,167190
1728970612376203266,坐席,然后一共花费了咱们一万两千块钱的积分。,167190,169950
1728970612376203266,客户,我现在积分没有了，现在积分也没有了，电卡也没有了，,169950,174790
1728970612376203266,客户,商品收没收到，我现在也没收到，我也不知道能不能寄出来。,174940,178710
1728970612376203266,坐席,咱们是在文创商场进行兑换的这份协商。,179770,184070
1728970612376203266,坐席,好的，我了解到咱们的情况先生，咱们这边app的账号是您这边的号码吗？先生？幺30零三。,190520,196930
1728970612376203266,客户,幺七六。,197470,199090
1728970612376203266,客户,六三六六。,200740,201640
1728970612376203266,客户,九三幺三。,203270,204190
1728970612376203266,坐席,好的，感谢您的介绍先生，辛苦到您了，咱们这边报价订单号您这边方便提供一下吗先生？,205530,212010
1728970612376203266,客户,你等一下我看一下。,216740,218180
1728970612376203266,客户,我怎么看订单号？,232730,234130
1728970612376203266,坐席,您看先生这边咱们这边您打开咱们的app，然后您在您的这边文创商城这边可以,234590,240940
1728970612376203266,坐席,可以查看到咱们订单，我的订单的情况不先生？,241060,243810
1728970612376203266,客户,我不,249720,250320
1728970612376203266,客户,是我的订单。,254470,255660
1728970612376203266,坐席,先生您在我的,256240,258320
1728970612376203266,坐席,然后在。,258610,259610
1728970612376203266,客户,在。,260230,260910
1728970612376203266,坐席,豪威里面的话。,260910,262890
1728970612376203266,客户,不放商城订单。,263180,264710
1728970612376203266,坐席,先给您提供一下咱们这边的订单号的情况先生。,266270,269060
1728970612376203266,客户,你看,270320,271640
1728970612376203266,客户,我本一个,271830,273370
1728970612376203266,客户,这么吵，,273830,275460
1728970612376203266,客户,一个现在是有一个足浴器。,277390,280690
1728970612376203266,坐席,逐一t,282370,284010
1728970612376203266,坐席,然后先给您提供一下介绍，我这边记录一下。,284230,287280
1728970612376203266,客户,幺四325六,287770,289550
1728970612376203266,客户,幺零八九,291710,292830
1728970612376203266,客户,五六四二二四，,295540,297230
1728970612376203266,客户,就没了。,299320,300250
1728970612376203266,坐席,我给您复述一下，幺四三二,301020,304120
1728970612376203266,坐席,五六幺零,304350,305790
1728970612376203266,坐席,八九四五,306040,307370
1728970612376203266,坐席,六四二二四对吗先生？,307630,309750
1728970612376203266,客户,八九四四。,312380,313400
1728970612376203266,坐席,八九,314390,315090
1728970612376203266,坐席,八九四四，,317040,318430
1728970612376203266,坐席,然后是五六四二。,318710,320560
1728970612376203266,客户,对幺。,322710,323710
1728970612376203266,坐席,四325六幺零,323710,326230
1728970612376203266,坐席,八九四四,326430,327780
1728970612376203266,坐席,五六四二二四对吗先生？,328180,330700
1728970612376203266,客户,对。,330930,331490
1728970612376203266,坐席,咱们这边进卡了，就关于导航先生。,331910,334940
1728970612376203266,客户,电卡现在是怎么着的？,335390,336920
1728970612376203266,客户,定好现在都,337180,338420
1728970612376203266,客户,现在订好就是订单状态显示已完成，,340870,344140
1728970612376203266,客户,但是订单金额现在都是零。,344490,346820
1728970612376203266,坐席,这款置换显示已完成对吗先生？,347800,350340
1728970612376203266,客户,对，我现在是下单了三个电卡，,350580,353000
1728970612376203266,客户,然后都是像是十八寸的。,353320,355090
1728970612376203266,客户,但是都是。,355510,358610
1728970612376203266,坐席,但是余额咱们这边都是背景的电动天窗。,359620,362710
1728970612376203266,客户,对，就是我现在下单了三个电口，一个足浴桶，但这三个电卡现在一分钱都没有到账。,363120,370160
